City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Zhangjiakou,CN,40.81,114.8794,61.48,50,100,8.32,moderate rain
256,Sitka,US,57.0531,-135.33,53.49,82,90,0.0,light rain
257,Vestmanna,FO,62.1564,-7.1664,50.92,93,90,18.01,overcast clouds
258,Kijang,KR,35.2442,129.2139,64.13,76,55,0.2,broken clouds
259,Kargil,IN,34.5667,76.1,44.64,58,77,4.83,broken clouds
260,Saint George,US,37.1041,-113.5841,97.27,10,1,1.01,clear sky
261,Boende,CD,-0.2167,20.8667,76.51,76,97,1.14,overcast clouds
262,Cayenne,GF,4.9333,-52.3333,81.09,84,0,3.0,clear sky
263,Mathathane,BW,-22.2687,28.7495,61.81,44,2,11.83,clear sky
264,Terrace,CA,54.5163,-128.6035,54.43,93,90,0.0,light rain
265,Asheboro,US,35.7079,-79.8136,69.87,67,90,4.61,overcast clouds
266,Mankapur,IN,27.0333,82.2333,85.33,60,0,4.7,clear sky
267,Manokwari,ID,-0.8667,134.0833,79.99,80,100,6.38,overcast clouds
268,Aquiraz,BR,-3.9014,-38.3911,82.49,80,14,6.98,few clouds
269,Zuwarah,LY,32.9312,12.082,69.48,76,6,9.82,clear sky
270,Qandala,SO,11.472,49.8728,88.66,58,8,7.43,clear sky
271,Neiafu,TO,-18.65,-173.9833,83.08,83,20,4.61,light rain
272,Khakhea,BW,-24.6895,23.494,52.83,30,47,4.5,scattered clouds
273,Morehead,US,37.2711,-87.1764,71.11,37,1,5.75,clear sky
274,Les Cayes,HT,18.2,-73.75,82.98,69,7,9.35,clear sky
275,Zambezi,ZM,-13.5432,23.1047,53.92,40,0,4.0,clear sky
276,Tateyama,JP,34.9833,139.8667,70.11,68,13,13.18,few clouds
277,Newport,GB,51.5877,-2.9984,59.83,75,100,7.25,overcast clouds
278,Peleduy,RU,59.6289,112.7406,41.14,97,100,6.08,overcast clouds
279,Saint-Denis,FR,48.9167,2.3333,65.98,49,0,5.75,clear sky
280,Ternate,ID,0.8,127.4,80.2,83,100,8.66,overcast clouds
281,Dunedin,NZ,-45.8742,170.5036,51.8,89,100,5.01,light rain
282,Vostok,RU,46.4856,135.8833,43.12,93,100,1.86,overcast clouds
283,Mahajanga,MG,-15.7167,46.3167,75.22,94,40,4.61,scattered clouds
284,Jiehu,CN,35.5428,118.455,67.46,74,49,2.37,scattered clouds
285,Arica,CL,-18.475,-70.3042,66.43,68,0,4.79,clear sky
286,Cabo San Lucas,MX,22.8909,-109.9124,92.61,28,1,6.91,clear sky
287,Sembe,CG,1.6481,14.5806,73.38,90,96,0.45,overcast clouds
288,Vanimo,PG,-2.6741,141.3028,78.53,89,98,6.13,overcast clouds
289,Yagodnoye,RU,62.55,149.6667,46.29,64,100,4.61,overcast clouds
290,Dikson,RU,73.5069,80.5464,30.07,98,100,5.48,snow
291,Koshurnikovo,RU,54.1667,93.3,32.56,82,31,3.36,scattered clouds
292,Constitucion,CL,-35.3333,-72.4167,57.54,67,100,10.56,overcast clouds
293,Eureka,US,40.8021,-124.1637,65.12,70,100,3.0,overcast clouds
294,Mbuji-Mayi,CD,-6.15,23.6,70.54,44,16,3.76,few clouds
295,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,82,20,9.13,few clouds
296,Fredericksburg,US,38.3032,-77.4605,60.69,80,90,1.01,overcast clouds
297,Vardo,NO,70.3705,31.1107,42.55,92,100,15.88,overcast clouds
298,Touros,BR,-5.1989,-35.4608,79.7,84,67,10.69,broken clouds
299,Varzea Da Palma,BR,-17.5981,-44.7308,78.64,43,50,4.05,scattered clouds
300,Geraldton,AU,-28.7667,114.6,55.81,100,90,18.68,overcast clouds
301,Bara,NG,10.3744,10.7288,87.19,42,74,6.91,broken clouds
302,Iqaluit,CA,63.7506,-68.5145,40.73,75,90,4.0,overcast clouds
303,Mugumu,TZ,-1.85,34.7,60.75,83,72,3.98,broken clouds
304,Rocha,UY,-34.4833,-54.3333,42.75,71,9,5.64,clear sky
305,Oxford,GB,51.7522,-1.256,57.36,76,59,7.07,broken clouds
306,Mayskiy,RU,47.6931,40.1025,64.44,91,38,5.97,scattered clouds
307,Luzhou,CN,28.8724,105.4405,69.76,78,97,2.06,overcast clouds
308,Omboue,GA,-1.5746,9.2618,76.68,91,97,8.12,overcast clouds
309,Nemuro,JP,43.3236,145.575,41.05,82,93,19.77,overcast clouds
310,Ko Samui,TH,9.5357,99.9357,84.34,74,100,6.6,overcast clouds
311,Miri,MY,4.4148,114.0089,75.34,100,20,3.2,few clouds
312,Grootfontein,NA,-19.5667,18.1167,49.57,53,100,3.44,overcast clouds
313,Riyadh,SA,24.6877,46.7219,95.05,10,0,3.44,clear sky
314,Sioux Lookout,CA,50.1001,-91.917,68.38,48,40,10.36,scattered clouds
315,San Carlos,VE,9.6612,-68.5827,82.04,67,75,1.66,broken clouds
